date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2026-01-15,Quảng Nam,1,0,0.0,0.0,0.736842105263158
2026-01-15,Quảng Ngãi,3,3,27.0,9.0,0.8013090229079008
2026-01-15,Quảng Ninh,2,2,24.0,12.0,0.865605658709107
2026-01-15,Quảng Trị,2,0,4.0,2.0,0.8471264367816091
2026-01-15,TP Hồ Chí Minh,22,14,126.0,5.7272727272727275,0.8674094334583677
2026-01-15,Thanh Hóa,2,2,24.0,12.0,0.8542692939244663
2026-01-15,UNKNOWN,6,5,34.5,5.75,0.0
2026-01-15,Vĩnh Long,1,1,11.5,11.5,0.9065420560747663
2026-01-15,Điện Biên,2,2,17.5,8.75,0.613095238095238
2026-01-15,Đà Nẵng,4,3,11.0,2.75,0.7298229000531632
2026-01-15,Đồng Nai,3,2,16.0,5.333333333333333,0.8942238135533055
2026-01-15,Đồng Tháp,1,1,5.5,5.5,0.5833333333333333
2026-01-16,An Giang,3,2,17.0,5.666666666666667,0.7326762246117084
2026-01-16,Bắc Giang,1,1,3.0,3.0,0.736842105263158
2026-01-16,Cà Mau,3,2,5.0,1.6666666666666667,0.6940267335004178
2026-01-16,Gia Lai,4,4,18.5,4.625,0.8692555885396247
2026-01-16,Hà Nội,16,15,85.5,5.34375,0.7482898230334221
2026-01-16,Hà Tĩnh,1,0,0.0,0.0,0.8275862068965517
2026-01-16,Khánh Hòa,1,0,0.0,0.0,0.8924731182795699
2026-01-16,Kiên Giang,2,2,14.5,7.25,0.8957925636007829
2026-01-16,Lào Cai,1,1,2.5,2.5,0.8666666666666667
2026-01-16,Lâm Đồng,2,2,9.5,4.75,0.8671988388969522
2026-01-16,Ninh Bình,1,0,0.0,0.0,0.868421052631579
2026-01-16,Quảng Ngãi,1,1,9.0,9.0,0.8571428571428572
2026-01-16,TP Hồ Chí Minh,31,15,92.0,2.967741935483871,0.8530072100632412
2026-01-16,Thanh Hóa,1,0,0.0,0.0,0.875
2026-01-16,UNKNOWN,7,3,22.5,3.2142857142857144,0.0
2026-01-16,Điện Biên,3,3,24.0,8.0,0.6345029239766081
2026-01-16,Đà Nẵng,4,2,24.5,6.125,0.7941476579188281
2026-01-16,Đồng Tháp,1,1,14.0,14.0,0.8387096774193549
2026-01-17,Bình Dương,1,1,5.5,5.5,0.5833333333333333
2026-01-17,Bình Thuận,1,0,0.0,0.0,0.8795180722891567
2026-01-17,Bình Định,1,1,6.0,6.0,0.8
2026-01-17,Cà Mau,2,2,6.0,3.0,0.7883597883597884
2026-01-17,Hà Nội,8,5,31.0,3.875,0.8107662950376833
2026-01-17,Hưng Yên,1,1,18.0,18.0,0.8148148148148149
2026-01-17,Khánh Hòa,1,1,3.5,3.5,0.8666666666666667
2026-01-17,Kiên Giang,4,4,23.5,5.875,0.8140151515151515
2026-01-17,Lâm Đồng,4,3,21.0,5.25,0.8612949027578858
2026-01-17,Nghệ An,2,2,22.0,11.0,0.725
2026-01-17,Phú Thọ,2,2,26.0,13.0,0.613095238095238
